# This is test data for simulation
# 
# Author: Steffen Vogel <steffen.vogel@rwth-aachen.de>
#
# S2SS signal params: type=mixed, values=5, rate=20000.000000, limit=5000, amplitude=4.000000, freq=2000.000000
# sec.nsec(seq)       		data[]

# Available simulation commands:
# !init			initialize GTFPGA
# !deinit		deinitialize GTFPGA
# !pause [clks]		wait for [clks] cycles of Clk100M
# !start		start sending data
# !stop			stop sending data

!init
!start
1461139749.105348388(0)	0.022245	0.006886	-4.000000	3.995616	-0.006906
1461139749.105402822(1)	0.034407	2.533044	-4.000000	2.253728	0.005914
1461139749.105450539(2)	0.020165	3.838188	-4.000000	0.726784	0.029097
1461139749.105500081(3)	-0.014214	3.774797	-4.000000	-0.858560	0.037446
1461139749.105550018(4)	-0.022215	2.278711	-4.000000	-2.456544	0.083064
1461139749.105600284(5)	-0.067649	-0.102179	4.000000	-3.934944	0.087567
1461139749.105650104(6)	-0.050323	-2.425850	4.000000	-2.340704	0.115310
1461139749.105700016(7)	-0.070974	-3.830704	4.000000	-0.743520	0.121474
1461139749.105750070(8)	-0.078138	-3.774980	4.000000	0.858208	0.127481
1461139749.105800024(9)	-0.100415	-2.278463	4.000000	2.456736	0.121053
!stop
!pause 10000

!start
1461139749.105850073(10)	-0.099466	0.091576	-4.000000	3.941696	0.145937
1461139749.105900029(11)	-0.082569	2.422852	-4.000000	2.343104	0.115340
1461139749.105950100(12)	-0.038086	3.831917	-4.000000	0.740832	0.123194
1461139749.106049960(14)	-0.053211	2.281107	-4.000000	-2.454688	0.152263
1461139749.105999986(13)	-0.038214	3.776375	-4.000000	-0.855520	0.132650
1461139749.106100116(15)	-0.050126	-0.093737	4.000000	-3.940320	0.183393
1461139749.106150031(16)	-0.054686	-2.422932	4.000000	-2.343040	0.201286
1461139749.106199880(17)	-0.081254	-3.828730	4.000000	-0.747872	0.183196
1461139749.106250105(18)	-0.080170	-3.774398	4.000000	0.859328	0.165937
1461139749.106300012(19)	-0.101411	-2.278959	4.000000	2.456352	0.177201
!stop

!pause 10000
!start
1461139749.106350007(20)	-0.085673
1461139749.106399967(21)	-0.087064	2.420371
1461139749.106449984(22)	-0.121163	3.830240	-4.000000
1461139749.106500024(23)	-0.133984	3.775744	-4.000000	-0.856736
1461139749.106550003(24)	-0.130872	2.279331	-4.000000	-2.456064	0.230922
1461139749.106600052(25)	-0.130100	-0.090520	4.000000	-3.942368	0.219672
1461139749.106650006(26)	-0.132211	-2.421932	4.000000	-2.343840	0.234285
1461139749.106700063(27)	-0.125826	-3.831383	4.000000	-0.742016	0.237560
1461139749.106749946(28)	-0.143648	-3.777037	4.000000	0.854240	0.257268
1461139749.106800091(29)	-0.117306	-2.275694	4.000000	2.458880	0.229802
1461139749.106850006(30)	-0.107193	0.088209	-4.000000	3.943840	0.211821
1461139749.106900230(31)	-0.110380	2.430883	-4.000000	2.336672	0.232045
1461139749.106949988(32)	-0.090900	3.830298	-4.000000	0.744416	0.222005
1461139749.106999985(33)	-0.095748	3.776391	-4.000000	-0.855488	0.229041
1461139749.107049982(34)	-0.117228	2.280198	-4.000000	-2.455392	0.255836
1461139749.107099951(35)	-0.106649	-0.085445	4.000000	-3.945600	0.257891
1461139749.107149936(36)	-0.098709	-2.419130	4.000000	-2.346080	0.275994
1461139749.107199892(37)	-0.100931	-3.828905	4.000000	-0.747488	0.291578
1461139749.107250093(38)	-0.108827	-3.774598	4.000000	0.858944	0.316050
1461139749.107299982(39)	-0.103537	-2.280198	4.000000	2.455392	0.327852
1461139749.107349914(40)	-0.105383	0.083585	-4.000000	3.946784	0.297892
1461139749.107400029(41)	-0.066568	2.422852	-4.000000	2.343104	0.279170
1461139749.107450002(42)	-0.050579	3.830501	-4.000000	0.743968	0.249900
1461139749.107499980(43)	-0.030349	3.776474	-4.000000	-0.855328	0.236281
1461139749.107549992(44)	-0.036150	2.279785	-4.000000	-2.455712	0.206281
1461139749.107599982(45)	-0.052832	-0.087003	4.000000	-3.944608	0.194335
1461139749.107649956(46)	-0.024482	-2.419931	4.000000	-2.345440	0.152396
1461139749.107699966(47)	-0.025047	-3.829979	4.000000	-0.745120	0.184689
1461139749.107750086(48)	0.005715	-3.774714	4.000000	0.858720	0.165207
1461139749.107799943(49)	0.032491	-2.281809	4.000000	2.454144	0.151127
1461139749.107850005(50)	0.017219	0.088159	-4.000000	3.943872	0.131263
